host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,instant_bookable,reviews_per_month,source_city,GEOID,area_sqmiles,crime_count,population,NatWalkInd,host_response_time_ord,amenities_list,safety_amenities_count,convenience_amenities_count,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,room_type_nan,is_unique_stay,population_per_sqmile,crime_per_1000,crime_per_sqmile,host_years,price_per_person,dist_km_downtown,dist_km_airport,log_dist_km_downtown,log_dist_km_airport,source_city_LA,source_city_OAK,source_city_SD,source_city_SF,source_city_nan,listing_age_years,reviews_per_year,bathrooms_per_bedroom,bath/bed
2008-10-08,,1.0,1.0,1.0,7.0,7.0,1.0,1.0,Prescott,37.81013,-122.29266,Private room in home,Private room,2,1.0,"[""Self check-in"", ""Coffee maker"", ""Private backyard \u2013 Fully fenced"", ""Dishes and silverware"", ""Outdoor furniture"", ""BBQ grill"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Cooking basics"", ""Iron"", ""Board games"", ""First aid kit"", ""Lock on bedroom door"", ""Smoke alarm"", ""Fire pit"", ""Oven"", ""Gas stove"", ""Free street parking"", ""Paid dryer \u2013 In building"", ""Shampoo"", ""Microwave"", ""Kitchen"", ""Free parking on premises"", ""Hair dryer"", ""Garden view"", ""Hangers"", ""Heating"", ""Wifi"", ""Lockbox"", ""Hammock"", ""Paid washer \u2013 In building"", ""Fire extinguisher""]",125.0,1,365,t,21,51,81,87,78,12,1,2014-08-02,4.74,1.0,0.57,OAK,6001402200.0,0.2763734688,495.0,2385.0,16.666666666666668,0.0,"['Self check-in', 'Coffee maker', 'Private backyard – Fully fenced', 'Dishes and silverware', 'Outdoor furniture', 'BBQ grill', 'Dedicated workspace', 'Essentials', 'Hot water', 'Refrigerator', 'Carbon monoxide alarm', 'Outdoor dining area', 'Cooking basics', 'Iron', 'Board games', 'First aid kit', 'Lock on bedroom door', 'Smoke alarm', 'Fire pit', 'Oven', 'Gas stove', 'Free street parking', 'Paid dryer – In building', 'Shampoo', 'Microwave', 'Kitchen', 'Free parking on premises', 'Hair dryer', 'Garden view', 'Hangers', 'Heating', 'Wifi', 'Lockbox', 'Hammock', 'Paid washer – In building', 'Fire extinguisher']",4,5,0,0,1,0,0,0,8629.627186558653,207.5471698113208,1791.054699097079,16.98,62.5,1.9964915254536268,11.714658934341308,1.0974421127638063,2.54275557463239,0,1,0,0,0,11.156164383561643,6.498760423709714,1.0,1.0
2009-03-06,,1.0,0.96,1.0,1.0,2.0,1.0,0.0,Adams Point,37.81266314006893,-122.25804724258587,Entire guest suite,Entire home/apt,2,1.0,"[""Self check-in"", ""Mini fridge"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Outdoor furniture"", ""Dishes and silverware"", ""Tea tree tingle (TJ\u2019s) conditioner"", ""Tea tree tingle (TJ\u2019s) body soap"", ""Essentials"", ""Hot water"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Outdoor dining area"", ""Cooking basics"", ""Iron"", ""Board games"", ""Toaster"", ""Shared backyard \u2013 Not fully fenced"", ""Portable heater"", ""First aid kit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Wine glasses"", ""Piano"", ""Free street parking"", ""Microwave"", ""Kitchen"", ""Drying rack for clothing"", ""TJ\u2019s Tea Tree Tingle shampoo"", ""Hair dryer"", ""Garden view"", ""Cleaning products"", ""Hangers"", ""Room-darkening shades"", ""Wifi"", ""Shower gel"", ""Clothing storage"", ""Blender"", ""Hot water kettle"", ""Bed linens"", ""Lockbox"", ""Private entrance"", ""TV"", ""Books and reading material"", ""Fire extinguisher""]",95.0,4,29,t,5,34,64,243,333,6,0,2009-07-14,4.97,0.0,1.69,OAK,6001403701.0,0.0671605506,361.0,2875.0,14.25,0.0,"['Self check-in', 'Mini fridge', 'Coffee maker: drip coffee maker, french press, pour-over coffee', 'Outdoor furniture', 'Dishes and silverware', 'Tea tree tingle (TJ’s) conditioner', 'Tea tree tingle (TJ’s) body soap', 'Essentials', 'Hot water', 'Dedicated workspace', 'Carbon monoxide alarm', 'Refrigerator', 'Outdoor dining area', 'Cooking basics', 'Iron', 'Board games', 'Toaster', 'Shared backyard – Not fully fenced', 'Portable heater', 'First aid kit', 'Smoke alarm', 'Extra pillows and blankets', 'Wine glasses', 'Piano', 'Free street parking', 'Microwave', 'Kitchen', 'Drying rack for clothing', 'TJ’s Tea Tree Tingle shampoo', 'Hair dryer', 'Garden view', 'Cleaning products', 'Hangers', 'Room-darkening shades', 'Wifi', 'Shower gel', 'Clothing storage', 'Blender', 'Hot water kettle', 'Bed linens', 'Lockbox', 'Private entrance', 'TV', 'Books and reading material', 'Fire extinguisher']",4,5,1,0,0,0,0,0,42807.86822495169,125.56521739130436,5375.179279724369,16.57,47.5,1.4749299705282073,10.663342772230028,0.9062121008842722,2.4564508269906704,0,1,0,0,0,16.21095890410959,19.406240050939196,1.0,0.0
2010-03-25,,0.88,0.88,0.0,2.0,4.0,1.0,0.0,Piedmont Avenue,37.83169,-122.25175,Entire guest suite,Entire home/apt,2,2.0,"[""Coffee maker"", ""Long term stays allowed"", ""Dryer"", ""Dishes and silverware"", ""Outdoor furniture"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Shared patio or balcony"", ""Cooking basics"", ""Iron"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Shared backyard \u2013 Fully fenced"", ""Luggage dropoff allowed"", ""Free street parking"", ""Shampoo"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Bathtub"", ""Hangers"", ""Heating"", ""Stove"", ""Body soap"", ""Wifi"", ""Pets allowed"", ""Sonoma conditioner"", ""Single level home"", ""Private entrance"", ""TV"", ""Fire extinguisher""]",92.0,4,365,t,18,48,78,194,147,2,1,2010-06-29,4.53,0.0,0.79,OAK,6001404101.0,0.2197993941,551.0,3155.0,17.416666665,1.0,"['Coffee maker', 'Long term stays allowed', 'Dryer', 'Dishes and silverware', 'Outdoor furniture', 'Dedicated workspace', 'Essentials', 'Hot water', 'Refrigerator', 'Carbon monoxide alarm', 'Outdoor dining area', 'Shared patio or balcony', 'Cooking basics', 'Iron', 'Free washer – In building', 'Smoke alarm', 'Shared backyard – Fully fenced', 'Luggage dropoff allowed', 'Free street parking', 'Shampoo', 'Microwave', 'Kitchen', 'Hair dryer', 'Bathtub', 'Hangers', 'Heating', 'Stove', 'Body soap', 'Wifi', 'Pets allowed', 'Sonoma conditioner', 'Single level home', 'Private entrance', 'TV', 'Fire extinguisher']",3,5,1,0,0,0,0,0,14353.997711952748,174.6434231378764,2506.8312961286733,15.52,46.0,3.483709377736626,12.562274379945196,1.500450689937421,2.607291995582228,0,1,0,0,0,15.252054794520548,9.106540795684424,1.0,0.0
2010-05-13,,1.0,0.95,1.0,3.0,4.0,1.0,1.0,Shafter,37.83618,-122.25581,Entire home,Entire home/apt,4,2.0,"[""Self check-in"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Free street parking"", ""Shampoo"", ""Washer"", ""Microwave"", ""Kitchen"", ""Shared BBQ grill: charcoal, wood-burning"", ""Keypad"", ""Dishwasher"", ""Free parking on premises"", ""Hair dryer"", ""Hangers"", ""Heating"", ""Stove"", ""Wifi"", ""Bed linens"", ""Private entrance""]",250.0,5,60,t,18,25,25,25,50,9,0,2011-07-23,4.73,0.0,0.29,OAK,6001400300.0,0.4288957101,1008.0,5727.0,15.7916666675,0.0,"['Self check-in', 'Coffee maker', 'Dryer', 'Dishes and silverware', 'Essentials', 'Hot water', 'Refrigerator', 'Carbon monoxide alarm', 'Cooking basics', 'Iron', 'TV with standard cable', 'Exterior security cameras on property', 'Smoke alarm', 'Extra pillows and blankets', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'Oven', 'Free street parking', 'Shampoo', 'Washer', 'Microwave', 'Kitchen', 'Shared BBQ grill: charcoal, wood-burning', 'Keypad', 'Dishwasher', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Stove', 'Wifi', 'Bed linens', 'Private entrance']",2,7,1,0,0,0,0,0,13352.896438774616,176.00838135149294,2350.2216885428343,15.38,62.5,3.785794005717287,13.129088470632944,1.5656519475480408,2.6482356843985024,0,1,0,0,0,14.186301369863012,3.3582897348006497,0.5,0.5
2010-03-25,,0.88,0.88,0.0,2.0,4.0,1.0,0.0,Temescal,37.8345,-122.26264,Entire rental unit,Entire home/apt,2,2.0,"[""Coffee maker"", ""Long term stays allowed"", ""Dryer"", ""Dishes and silverware"", ""Outdoor furniture"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Shared patio or balcony"", ""Iron"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Elevator"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Wifi \u2013 26 Mbps"", ""Heating"", ""Indoor fireplace"", ""City skyline view"", ""TV""]",167.0,21,180,t,24,54,61,269,4,0,0,2012-09-09,4.25,0.0,0.03,OAK,6001401100.0,0.3371934852,2035.0,5627.0,16.5416666675,1.0,"['Coffee maker', 'Long term stays allowed', 'Dryer', 'Dishes and silverware', 'Outdoor furniture', 'Essentials', 'Hot water', 'Refrigerator', 'Carbon monoxide alarm', 'Outdoor dining area', 'Shared patio or balcony', 'Iron', 'Smoke alarm', 'Luggage dropoff allowed', 'Shampoo', 'Washer', 'Elevator', 'Kitchen', 'Hair dryer', 'Hangers', 'Wifi – 26 Mbps', 'Heating', 'Indoor fireplace', 'City skyline view', 'TV']",2,3,1,0,0,0,0,0,16687.7482720713,361.6491913986138,6035.110668858201,15.52,83.5,3.4335787390113977,13.103067674080162,1.4892070996918103,2.646392339257773,0,1,0,0,0,13.052054794520547,0.3558198479235718,0.75,0.75
2010-05-06,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Bushrod,37.84219,-122.26779,Entire home,Entire home/apt,4,3.0,"[""Self check-in"", ""Coffee maker"", ""Clothing storage: wardrobe and dresser"", ""Dryer"", ""Dishes and silverware"", ""Rice maker"", ""Outdoor furniture"", ""Portable fans"", ""BBQ grill"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Toaster"", ""Freezer"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Wine glasses"", ""Coffee"", ""Private patio or balcony"", ""Oven"", ""Free street parking"", ""Washer"", ""Microwave"", ""Kitchen"", ""Drying rack for clothing"", ""Hair dryer"", ""Cleaning products"", ""Hangers"", ""Heating"", ""Dining table"", ""Stove"", ""Wifi"", ""Blender"", ""Bed linens"", ""Lockbox"", ""TV"", ""Books and reading material"", ""Fire extinguisher"", ""Baking sheet""]",125.0,7,29,t,10,39,46,269,42,3,0,2010-08-25,4.9,0.0,0.23,OAK,6001400700.0,0.3340309401,477.0,4404.0,16.0,0.0,"['Self check-in', 'Coffee maker', 'Clothing storage: wardrobe and dresser', 'Dryer', 'Dishes and silverware', 'Rice maker', 'Outdoor furniture', 'Portable fans', 'BBQ grill', 'Essentials', 'Hot water', 'Refrigerator', 'Carbon monoxide alarm', 'Cooking basics', 'Iron', 'Toaster', 'Freezer', 'Smoke alarm', 'Extra pillows and blankets', 'Wine glasses', 'Coffee', 'Private patio or balcony', 'Oven', 'Free street parking', 'Washer', 'Microwave', 'Kitchen', 'Drying rack for clothing', 'Hair dryer', 'Cleaning products', 'Hangers', 'Heating', 'Dining table', 'Stove', 'Wifi', 'Blender', 'Bed linens', 'Lockbox', 'TV', 'Books and reading material', 'Fire extinguisher', 'Baking sheet']",3,5,1,0,0,0,0,0,13184.407404540309,108.31062670299728,1428.0114286933983,15.4,31.25,4.2167883754528885,14.052061883650376,1.6518819588036369,2.7115149840468407,0,1,0,0,0,15.095890410958903,2.671489361702128,0.5,0.5
2010-08-23,,1.0,0.86,1.0,2.0,3.0,1.0,1.0,Upper Dimond,37.80252,-122.20828,Entire home,Entire home/apt,4,5.0,"[""Self check-in"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Long term stays allowed"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Dishes and silverware"", ""Ethernet connection"", ""Portable fans"", ""BBQ grill"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Radio has bluetooth setting for stereo Bluetooth sound system"", ""Iron"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Toaster"", ""Freezer"", ""First aid kit"", ""Conditioner"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Wine glasses"", ""Coffee"", ""Stainless steel gas stove"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Free street parking"", ""Barbecue utensils"", ""Shampoo"", ""Children\u2019s books and toys"", ""Microwave"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Drying rack for clothing"", ""Crib - always at the listing"", ""Free driveway parking on premises \u2013 1 space"", ""Dishwasher"", ""Hair dryer"", ""Bathtub"", ""43 inch HDTV with Amazon Prime Video, Apple TV, Roku, Netflix, HBO Max"", ""Cleaning products"", ""Hangers"", ""Z-Line Gas range with electric oven stainless steel oven"", ""Heating"", ""Dining table"", ""Private backyard \u2013 Not fully fenced"", ""Body soap"", ""Shower gel"", ""Fast wifi \u2013 733 Mbps"", ""Clothing storage"", ""Folding or convertible high chair"", ""Single level home"", ""Pets allowed"", ""Hot water kettle"", ""Bed linens"", ""Lockbox"", ""Private entrance"", ""Fire extinguisher"", ""Baking sheet""]",170.0,30,180,t,0,24,54,94,29,4,0,2018-11-25,4.93,0.0,0.35,OAK,6001406700.0,0.6500869947,494.0,5718.0,13.266666666,0.0,"['Self check-in', 'Coffee maker: drip coffee maker, french press, pour-over coffee', 'Long term stays allowed', 'Free washer – In unit', 'Outdoor furniture', 'Dishes and silverware', 'Ethernet connection', 'Portable fans', 'BBQ grill', 'Dedicated workspace', 'Essentials', 'Hot water', 'Refrigerator', 'Carbon monoxide alarm', 'Outdoor dining area', 'Radio has bluetooth setting for stereo Bluetooth sound system', 'Iron', 'Children’s dinnerware', 'Cooking basics', 'Toaster', 'Freezer', 'First aid kit', 'Conditioner', 'Smoke alarm', 'Extra pillows and blankets', 'Wine glasses', 'Coffee', 'Stainless steel gas stove', 'Private patio or balcony', 'Luggage dropoff allowed', 'Free street parking', 'Barbecue utensils', 'Shampoo', 'Children’s books and toys', 'Microwave', 'Kitchen', 'Free dryer – In unit', 'Drying rack for clothing', 'Crib - always at the listing', 'Free driveway parking on premises – 1 space', 'Dishwasher', 'Hair dryer', 'Bathtub', '43 inch HDTV with Amazon Prime Video, Apple TV, Roku, Netflix, HBO Max', 'Cleaning products', 'Hangers', 'Z-Line Gas range with electric oven stainless steel oven', 'Heating', 'Dining table', 'Private backyard – Not fully fenced', 'Body soap', 'Shower gel', 'Fast wifi – 733 Mbps', 'Clothing storage', 'Folding or convertible high chair', 'Single level home', 'Pets allowed', 'Hot water kettle', 'Bed linens', 'Lockbox', 'Private entrance', 'Fire extinguisher', 'Baking sheet']",4,6,1,0,0,0,0,0,8795.745871887075,86.39384400139909,759.898296731762,15.1,42.5,5.526495709306907,9.088464444830162,1.8758701544201384,2.3113926369396927,0,1,0,0,0,6.838356164383562,3.827333100314575,0.5,0.5
2010-10-23,,1.0,1.0,1.0,4.0,8.0,1.0,1.0,Millsmont,37.7769,-122.18037,Private room in home,Private room,1,1.0,"[""Self check-in"", ""Mini fridge"", ""Laundromat nearby"", ""Long term stays allowed"", ""Outdoor furniture"", ""Dishes and silverware"", ""Rice maker"", ""Portable fans"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Breakfast"", ""Cooking basics"", ""Iron"", ""Toaster"", ""Portable heater"", ""First aid kit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Wine glasses"", ""Coffee"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Luggage dropoff allowed"", ""Free street parking"", ""Kitchenette"", ""Shampoo"", ""Microwave"", ""Hair dryer"", ""Coffee maker: drip coffee maker, french press, Nespresso, pour-over coffee"", ""Cleaning products"", ""Hangers"", ""Central heating"", ""Building staff"", ""Dining table"", ""Body soap"", ""Wifi"", ""Blender"", ""Hot water kettle"", ""Bed linens"", ""Bay view"", ""Various brands conditioner"", ""Clothing storage: closet"", ""Books and reading material"", ""Fire extinguisher""]",48.0,30,300,t,0,0,16,290,45,1,0,2017-05-22,4.67,0.0,0.44,OAK,6001408200.0,0.347930154,500.0,4743.0,12.555555553333337,0.0,"['Self check-in', 'Mini fridge', 'Laundromat nearby', 'Long term stays allowed', 'Outdoor furniture', 'Dishes and silverware', 'Rice maker', 'Portable fans', 'Dedicated workspace', 'Essentials', 'Hot water', 'Outdoor dining area', 'Carbon monoxide alarm', 'Breakfast', 'Cooking basics', 'Iron', 'Toaster', 'Portable heater', 'First aid kit', 'Smoke alarm', 'Extra pillows and blankets', 'Wine glasses', 'Coffee', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'Luggage dropoff allowed', 'Free street parking', 'Kitchenette', 'Shampoo', 'Microwave', 'Hair dryer', 'Coffee maker: drip coffee maker, french press, Nespresso, pour-over coffee', 'Cleaning products', 'Hangers', 'Central heating', 'Building staff', 'Dining table', 'Body soap', 'Wifi', 'Blender', 'Hot water kettle', 'Bed linens', 'Bay view', 'Various brands conditioner', 'Clothing storage: closet', 'Books and reading material', 'Fire extinguisher']",4,3,0,0,1,0,0,0,13632.046390552285,105.41851149061776,1437.0700390630702,14.93,48.0,8.54066123504658,7.124148947891193,2.255562794907986,2.094840977854743,0,1,0,0,0,8.35068493150685,4.919425725168473,1.0,1.0
2011-03-29,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Shafter,37.84211,-122.25203,Entire guesthouse,Entire home/apt,2,1.0,"[""Self check-in"", ""Coffee maker"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Iron"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Fire pit"", ""Free street parking"", ""Shampoo"", ""Keypad"", ""Free parking on premises"", ""Hair dryer"", ""Hangers"", ""EV charger"", ""Heating"", ""Wifi"", ""Bed linens"", ""Private entrance""]",140.0,3,60,t,1,1,1,268,257,7,0,2011-05-17,4.88,0.0,1.47,OAK,6001400300.0,0.4288957101,1008.0,5727.0,15.7916666675,2.0,"['Self check-in', 'Coffee maker', 'Outdoor furniture', 'Dishes and silverware', 'Dedicated workspace', 'Essentials', 'Hot water', 'Refrigerator', 'Carbon monoxide alarm', 'Outdoor dining area', 'Iron', 'Smoke alarm', 'Extra pillows and blankets', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'Fire pit', 'Free street parking', 'Shampoo', 'Keypad', 'Free parking on premises', 'Hair dryer', 'Hangers', 'EV charger', 'Heating', 'Wifi', 'Bed linens', 'Private entrance']",2,6,1,0,0,0,0,0,13352.896438774616,176.00838135149294,2350.2216885428343,14.5,70.0,4.520767043048423,13.700651008407725,1.7085168077093535,2.6878917790903216,0,1,0,0,0,14.36986301369863,16.78609625668449,1.0,1.0
2011-06-05,,-1.0,-1.0,0.0,1.0,4.0,1.0,1.0,Merriwood,37.83699,-122.21452,Entire guesthouse,Entire home/apt,2,0.0,"[""Self check-in"", ""Long term stays allowed"", ""Free washer \u2013 In unit"", ""Coffee maker: Keurig coffee machine"", ""Dryer"", ""Dishes and silverware"", ""Outdoor furniture"", ""BBQ grill"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Outdoor dining area"", ""Cooking basics"", ""Iron"", ""Toaster"", ""Electric Cooktop electric stove"", ""Freezer"", ""Portable heater"", ""Smoke alarm"", ""Wine glasses"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Free street parking"", ""Microwave"", ""Kitchen"", ""Drying rack for clothing"", ""30 inch TV"", ""Free parking on premises"", ""Hair dryer"", ""Hangers"", ""Indoor fireplace"", ""Convection/Microwave combo oven oven"", ""Backyard"", ""Wifi"", ""Pets allowed"", ""Single level home"", ""Hot water kettle"", ""Bed linens"", ""Lockbox"", ""Private entrance"", ""Clothing storage: closet"", ""Fire extinguisher""]",158.0,180,180,t,24,54,84,173,14,0,0,2017-01-15,5.0,0.0,0.13,OAK,6001404400.0,1.6033509063,248.0,5657.0,9.277777777666666,-1.0,"['Self check-in', 'Long term stays allowed', 'Free washer – In unit', 'Coffee maker: Keurig coffee machine', 'Dryer', 'Dishes and silverware', 'Outdoor furniture', 'BBQ grill', 'Dedicated workspace', 'Essentials', 'Hot water', 'Refrigerator', 'Outdoor dining area', 'Cooking basics', 'Iron', 'Toaster', 'Electric Cooktop electric stove', 'Freezer', 'Portable heater', 'Smoke alarm', 'Wine glasses', 'Private patio or balcony', 'Luggage dropoff allowed', 'Free street parking', 'Microwave', 'Kitchen', 'Drying rack for clothing', '30 inch TV', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Indoor fireplace', 'Convection/Microwave combo oven oven', 'Backyard', 'Wifi', 'Pets allowed', 'Single level home', 'Hot water kettle', 'Bed linens', 'Lockbox', 'Private entrance', 'Clothing storage: closet', 'Fire extinguisher']",2,5,1,0,0,0,0,0,3528.235757856945,43.83949089623476,154.67605938633946,14.32,79.0,6.156168142788144,12.866108304947277,1.9679746621267369,2.629447611318243,0,1,0,0,0,8.698630136986301,1.5466101694915255,0.0,0.0
