Unnamed: 0,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,area_sqmiles,NatWalkInd,host_response_time_ord,safety_amenities_count,convenience_amenities_count,room_type_Hotel room,room_type_Private room,room_type_Shared room,is_unique_stay,population_per_sqmile,crime_per_1000,host_years,price_per_person,log_dist_km_downtown,log_dist_km_airport,source_city_OAK,source_city_SD,source_city_SF,listing_age_years,reviews_per_year,stratify_col
0,1.0,1.0,1.0,7.0,1.0,1.0,37.81013,-122.29266,2,1.0,1.0,1.0,1,365,78,4.74,1.0,0.2763734688,16.666666666666668,0.0,4,5,0,1,0,0,8629.627186558653,207.54716981132077,16.98,62.5,1.0974421127638063,2.54275557463239,1,0,0,11.156164383561643,6.991650294695481,OAK_Private room
1,1.0,0.96,1.0,1.0,1.0,0.0,37.81266314006893,-122.25804724258587,2,1.0,0.0,1.0,4,29,333,4.97,0.0,0.0671605506,14.25,0.0,4,5,0,0,0,0,42807.86822495169,125.56521739130436,16.57,47.5,0.9062121008842722,2.4564508269906704,1,0,0,16.21095890410959,20.54165962480987,OAK_Entire home/apt
2,0.88,0.88,0.0,2.0,1.0,0.0,37.83169,-122.25175,2,1.0,0.0,2.0,4,365,147,4.53,0.0,0.2197993941,17.416666665,1.0,3,5,0,0,0,0,14353.997711952748,174.6434231378764,15.52,46.0,1.500450689937421,2.607291995582228,1,0,0,15.252054794520548,9.63804562601042,OAK_Entire home/apt
3,1.0,0.95,1.0,3.0,1.0,1.0,37.83618,-122.25581,4,1.0,2.0,2.0,5,60,50,4.73,0.0,0.4288957101,15.7916666675,0.0,2,7,0,0,0,0,13352.896438774616,176.00838135149294,15.38,62.5,1.5656519475480408,2.6482356843985024,1,0,0,14.186301369863012,3.5245268443414446,OAK_Entire home/apt
4,0.88,0.88,0.0,2.0,1.0,0.0,37.8345,-122.26264,2,1.5,2.0,2.0,21,180,4,4.25,0.0,0.3371934852,16.5416666675,1.0,2,3,0,0,0,0,16687.7482720713,361.6491913986138,15.52,83.5,1.4892070996918103,2.6463923392577735,1,0,0,13.052054794520547,0.3064651553316541,OAK_Entire home/apt
5,1.0,1.0,0.0,1.0,1.0,1.0,37.84219,-122.26779,4,1.0,2.0,3.0,7,29,42,4.9,0.0,0.3340309401,16.0,0.0,3,5,0,0,0,0,13184.407404540309,108.31062670299728,15.4,31.25,1.6518819588036369,2.7115149840468407,1,0,0,15.095890410958903,2.7822141560798546,OAK_Entire home/apt
6,1.0,0.86,1.0,2.0,1.0,1.0,37.80252,-122.20828,4,1.0,2.0,5.0,30,180,29,4.93,0.0,0.6500869947,13.266666666,0.0,4,6,0,0,0,0,8795.745871887075,86.39384400139909,15.1,42.5,1.8758701544201384,2.3113926369396927,1,0,0,6.838356164383562,4.240785256410256,OAK_Entire home/apt
7,1.0,1.0,1.0,4.0,1.0,1.0,37.7769,-122.18037,1,1.0,1.0,1.0,30,300,45,4.67,0.0,0.347930154,12.555555553333337,0.0,4,3,0,1,0,0,13632.046390552285,105.41851149061776,14.93,48.0,2.255562794907986,2.094840977854743,1,0,0,8.35068493150685,5.388779527559055,OAK_Private room
8,1.0,1.0,1.0,1.0,1.0,1.0,37.84211,-122.25203,2,1.0,1.0,1.0,3,60,257,4.88,0.0,0.4288957101,15.7916666675,2.0,2,6,0,0,0,0,13352.896438774616,176.00838135149294,14.5,70.0,1.7085168077093535,2.6878917790903216,1,0,0,14.36986301369863,17.88465204957102,OAK_Entire home/apt
9,-1.0,-1.0,0.0,1.0,1.0,1.0,37.83699,-122.21452,2,0.0,2.0,0.0,180,180,14,5.0,0.0,1.6033509063,9.277777777666666,-1.0,2,5,0,0,0,0,3528.235757856945,43.83949089623476,14.32,79.0,1.9679746621267369,2.629447611318243,1,0,0,8.698630136986301,1.609448818897638,OAK_Entire home/apt
10,0.25,0.0,0.0,1.0,1.0,0.0,37.81089,-122.25396,2,1.0,1.0,1.0,1,14,9,5.0,0.0,0.151667802,12.444444446666663,3.0,2,4,0,0,0,0,32320.63717782368,105.875152998776,14.27,72.0,0.9839041646057728,2.4309163522932207,1,0,0,10.830136986301367,0.8310144194282824,OAK_Entire home/apt
