CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Location
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-001618,THEFT BY USE OF ACCESS CARD,30Y,2600 73RD AV,Oakland,CA,POINT (-122.17544 37.7669)
GRAND THEFT,2023 Jan 01 12:00:00 AM,23-001603,THEFT BY FORGED/INVALID ACCESS CARD [OVER $400]-FEL,30Y,2600 73RD AV,Oakland,CA,POINT (-122.17544 37.7669)
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-000540,THEFT,25Y,7600 SURREY LN,Oakland,CA,POINT (-122.14355 37.77988)
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-002957,THEFT,14Y,4000 GRAND AV,Oakland,CA,POINT (-122.24467 37.81891)
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-005824,THEFT,08X,500 MERRIMAC ST,Oakland,CA,POINT (-122.26795 37.81663)
OTHER,2023 Jan 01 12:00:00 AM,23-019583,CRIMINAL CONTEMPT,27Y,2200 62ND AV,Oakland,CA,POINT (-122.19261 37.76719)
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-014634,PETTY THEFT:$50-,77X,3200 ST,Oakland,CA,
MISDEMEANOR ASSAULT,2023 Jan 01 12:00:00 AM,23-017367,DISTURB THE PEACE,02Y,500 HENRY ST,Oakland,CA,POINT (-122.29743 37.80473)
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-031999,PETTY THEFT:$50-,02X,800 MARKET ST,Oakland,CA,POINT (-122.28214 37.80334)
GRAND THEFT,2023 Jan 01 12:00:00 AM,23-028383,GRAND THEFT,34X,1600 AUSEON AV,Oakland,CA,POINT (-122.17462 37.75304)
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-900203,THEFT,20X,1000 23RD AV,Oakland,CA,POINT (-122.2371 37.78025)
OTHER,2023 Jan 01 12:00:00 AM,23-909418,MAIL/ETC THEFT/ETC,22Y,2900 MORGAN AV,Oakland,CA,POINT (-122.20218 37.8024)
PETTY THEFT,2023 Jan 01 12:00:00 AM,23-908531,THEFT BY USE OF ACCESS CARD,77X,OAKLAND AVE,Oakland,CA,
BURG - AUTO,2023 Jan 01 12:00:00 AM,23-908747,BURGLARY-AUTO,77X,3600 ST,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,2023 Jan 01 12:00:00 AM,23-908799,ATTEMPT VEHICLE THEFT-AUTO,21Y,3300 SUTER ST,Oakland,CA,POINT (-122.20686 37.79313)
