objectid,nibrs_uniq,case_number,occured_on,approved_on,day_of_week,month,year,code_section,group_type,ibr_category,crime_against,ibr_offense,ibr_offense_description,pd_offense_category,violent_crime,property_crime,beat,neighborhood,service_area,division_number,division,block_addr,city,state,zip,query_run_date,geocode_status,geocode_score,latitude,longitude
1,2893344_90Z,21032576,2021-07-11 20:45:00,2021-07-11 23:13:45,1,7,2021,148 (A)(1) PC OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH (M) || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,516.0,Stockton,510.0,5.0,Central,100 31st ST,SAN DIEGO,CA,92102.0,2023-09-11 08:41:49,M,96.3,32.706473781680295,-117.12745504754383
2,2959571_23F,22701933,2022-02-11 22:00:00,2022-02-14 20:38:50,6,2,2022,459 PC BURGLARY (VEHICLE) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23F,Theft From Motor Vehicle,Theft From Motor Vehicle,0,1,242.0,Mira Mesa,240.0,2.0,Northeastern,10000 MAYA LINDA ROAD,SAN DIEGO,CA,92126.0,2023-09-11 08:41:49,M,97.22,32.90107317521487,-117.1201204042583
3,2872072_13B_2,21020993,2021-05-02 06:00:00,2021-05-06 19:12:50,1,5,2021,273.5 (A) PC SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F) || ,A,ASSAULT OFFENSES,PE,13B,Simple Assault,Simple Assault,0,0,611.0,Midway District,610.0,6.0,Western,3800 Greenwood ST,SAN DIEGO,CA,92110.0,2023-09-11 08:41:49,M,96.97,32.75489906754949,-117.2060221438011
4,3026521_13A_2,22041849,2022-09-21 12:46:21,2022-11-03 14:32:03,4,9,2022,273 A (A) PC WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F) || ,A,ASSAULT OFFENSES,PE,13A,Aggravated Assault,Aggravated Assault,1,0,999.0,Unknown,,,Unknown,,,CA,92254.0,2025-03-28 17:10:13.560000,U,0.0,,
5,2836797_280,21001415,2021-01-09 11:23:00,2021-01-09 22:09:28,7,1,2021,10851 (A) VC OTHER AGENCY VEHICLE THEFT/RECOVERY (F) || ,A,STOLEN PROPERTY OFFENSES,PR,280,Stolen Property Offenses,Stolen Property Offenses,0,0,721.0,Egger Highlands,720.0,7.0,Southern,1100 Walnut AVE,CHULA VISTA,CA,91911.0,2023-09-11 08:41:49,M,95.45,32.60596455532985,-117.08875238551715
6,3074283_240_1,23009256,2023-03-04 01:04:00,2023-03-06 14:57:10,7,3,2023,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,821.0,Rolando,820.0,8.0,Mid-City,4500 Mataro DR,SAN DIEGO,CA,92115.0,2023-09-11 08:41:49,M,96.67,32.75957874841805,-117.0557970079338
7,147118_90Z,20007076,2020-02-04 11:00:00,2020-02-05 14:23:11,3,2,2020,BW-F ZZ FELONY BENCH WARRANT (OUR AGENCY) || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,822.0,El Cerrito,820.0,8.0,Mid-City,5600 University AVE,SAN DIEGO,CA,92105.0,2023-09-11 08:41:49,M,95.93,32.747826795165565,-117.07563977144682
8,3022336_120,22039685,2022-09-13 01:27:00,2022-09-28 14:58:33,3,9,2022,211 PC ROBBERY (F) || ,A,ROBBERY,PR,120,Robbery,Robbery,1,0,614.0,Ocean Beach,610.0,6.0,Western,Santa Monica AVE & sunset Cliffs BLVD,SAN DIEGO,CA,92107.0,2023-09-11 08:41:49,M,97.92,32.74557107541255,-117.24686467477328
9,2865337_35A,21017434,2021-04-12 18:19:00,2021-04-14 07:04:40,2,4,2021,11550 (A) HS USE/UNDER INFL OF CONTROLLED SUBS (M) || ,A,DRUG/NARCOTIC OFFENSES,SO,35A,Drug/narcotic Violations,Drug/Narcotic Violations,0,0,313.0,Kearney Mesa,310.0,3.0,Eastern,7800 Clairemont Mesa BLVD,SAN DIEGO,CA,92111.0,2023-09-11 08:41:49,M,97.5,32.83279044832153,-117.15320359048314
10,3043773_13B_2,22050605,2022-11-19 12:30:27,2022-12-01 12:17:28,7,11,2022,242 PC SIMPLE BATTERY (M) || ,A,ASSAULT OFFENSES,PE,13B,Simple Assault,Simple Assault,0,0,521.0,East Village,520.0,5.0,Central,1500 Commercial ST,SAN DIEGO,CA,92113.0,2023-09-11 08:41:49,M,97.06,32.70528012871593,-117.15027417184815
