GEO_ID,NAME,B01003_001E,B01003_001M,Unnamed: 4
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,
1400000US06001400100,Census Tract 4001; Alameda County; California,3094,452,
1400000US06001400200,Census Tract 4002; Alameda County; California,2093,224,
1400000US06001400300,Census Tract 4003; Alameda County; California,5727,607,
1400000US06001400400,Census Tract 4004; Alameda County; California,4395,640,
1400000US06001400500,Census Tract 4005; Alameda County; California,3822,737,
1400000US06001400600,Census Tract 4006; Alameda County; California,1957,272,
1400000US06001400700,Census Tract 4007; Alameda County; California,4404,622,
1400000US06001400800,Census Tract 4008; Alameda County; California,4583,536,
1400000US06001400900,Census Tract 4009; Alameda County; California,2752,479,
1400000US06001401000,Census Tract 4010; Alameda County; California,6529,940,
1400000US06001401100,Census Tract 4011; Alameda County; California,5627,654,
1400000US06001401200,Census Tract 4012; Alameda County; California,3068,264,
1400000US06001401300,Census Tract 4013; Alameda County; California,4368,413,
1400000US06001401400,Census Tract 4014; Alameda County; California,4876,818,
1400000US06001401500,Census Tract 4015; Alameda County; California,2827,564,
1400000US06001401600,Census Tract 4016; Alameda County; California,2617,395,
1400000US06001401700,Census Tract 4017; Alameda County; California,3519,475,
1400000US06001401800,Census Tract 4018; Alameda County; California,1816,303,
1400000US06001402200,Census Tract 4022; Alameda County; California,2385,409,
1400000US06001402400,Census Tract 4024; Alameda County; California,2727,457,
1400000US06001402500,Census Tract 4025; Alameda County; California,1877,379,
1400000US06001402600,Census Tract 4026; Alameda County; California,1255,305,
1400000US06001402700,Census Tract 4027; Alameda County; California,2056,339,
1400000US06001402801,Census Tract 4028.01; Alameda County; California,2911,498,
1400000US06001402802,Census Tract 4028.02; Alameda County; California,1527,228,
1400000US06001402900,Census Tract 4029; Alameda County; California,2111,251,
1400000US06001403000,Census Tract 4030; Alameda County; California,3125,477,
1400000US06001403100,Census Tract 4031; Alameda County; California,2174,367,
1400000US06001403301,Census Tract 4033.01; Alameda County; California,1807,289,
1400000US06001403302,Census Tract 4033.02; Alameda County; California,2687,372,
1400000US06001403401,Census Tract 4034.01; Alameda County; California,2641,382,
1400000US06001403402,Census Tract 4034.02; Alameda County; California,955,170,
1400000US06001403501,Census Tract 4035.01; Alameda County; California,5421,769,
1400000US06001403502,Census Tract 4035.02; Alameda County; California,1885,273,
1400000US06001403600,Census Tract 4036; Alameda County; California,4902,580,
1400000US06001403701,Census Tract 4037.01; Alameda County; California,2875,368,
1400000US06001403702,Census Tract 4037.02; Alameda County; California,2264,236,
1400000US06001403800,Census Tract 4038; Alameda County; California,3996,402,
1400000US06001403900,Census Tract 4039; Alameda County; California,3864,748,
1400000US06001404000,Census Tract 4040; Alameda County; California,2984,361,
1400000US06001404101,Census Tract 4041.01; Alameda County; California,3155,349,
1400000US06001404102,Census Tract 4041.02; Alameda County; California,2623,355,
1400000US06001404200,Census Tract 4042; Alameda County; California,3584,362,
1400000US06001404300,Census Tract 4043; Alameda County; California,3510,360,
1400000US06001404400,Census Tract 4044; Alameda County; California,5657,556,
1400000US06001404501,Census Tract 4045.01; Alameda County; California,1830,203,
1400000US06001404502,Census Tract 4045.02; Alameda County; California,6038,772,
1400000US06001404600,Census Tract 4046; Alameda County; California,4767,503,
1400000US06001404700,Census Tract 4047; Alameda County; California,2223,253,
1400000US06001404800,Census Tract 4048; Alameda County; California,2622,402,
1400000US06001404900,Census Tract 4049; Alameda County; California,4798,508,
1400000US06001405000,Census Tract 4050; Alameda County; California,3670,342,
1400000US06001405100,Census Tract 4051; Alameda County; California,4451,376,
1400000US06001405200,Census Tract 4052; Alameda County; California,4916,1146,
1400000US06001405301,Census Tract 4053.01; Alameda County; California,2934,434,
